Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
240,Dipentyl phthalate,306.1826,307.1904,183.82,Predicted,17.59,Measured,2045,Kovatas
241,Di-iso-pentyl phthalate,306.1826,307.1904,184.49,Predicted,18.41,Measured,2097,Kovatas
242,"2,3,4,6-Tetrachlorodiphenyl ether",307.9139,308.9217,161.74,Predicted,18.02,Predicted,2004,Kovatas
243,"2,3,5,6-Tetrachlorodiphenyl ether",307.9139,308.9217,163.52,Predicted,18.26,Predicted,2029,Kovatas
244,"2,4,4',6-Tetrachlorodiphenyl ether",307.9139,308.9217,161.95,Predicted,18.33,Predicted,2036,Kovatas
245,"2,3,4',5-Tetrachlorodiphenyl ether",307.9139,308.9217,166.68,Predicted,18.59,Predicted,2064,Kovatas
246,"2,2',4,6-Tetrachlorodiphenyl ether",307.9139,308.9217,162.21,Predicted,18.61,Predicted,2066,Kovatas
247,"2,2',5,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,162.95,Predicted,18.62,Predicted,2067,Kovatas
248,"2,2',4,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,164.64,Predicted,18.7,Predicted,2075,Kovatas
249,"2,3',4,6-Tetrachlorodiphenyl ether",307.9139,308.9217,162.21,Predicted,18.7,Predicted,2075,Kovatas
250,"2,3,4,5-Tetrachlorodiphenyl ether",307.9139,308.9217,163.57,Predicted,18.73,Predicted,2079,Kovatas
251,"2,4,4',5-Tetrachlorodiphenyl ether",307.9139,308.9217,167.45,Predicted,18.77,Predicted,2083,Kovatas
252,"2,2',4,4'-Tetrachlorodiphenyl ether",307.9139,308.9217,163.95,Predicted,18.78,Predicted,2084,Kovatas
253,"2,3,4,4'-Tetrachlorodiphenyl ether",307.9139,308.9217,165.46,Predicted,18.8,Predicted,2086,Kovatas
254,"2,2',3,5-Tetrachlorodiphenyl ether",307.9139,308.9217,165.14,Predicted,18.8,Predicted,2086,Kovatas
255,"2,2',3,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,164.32,Predicted,18.87,Predicted,2094,Kovatas
256,"2,2',4,5-Tetrachlorodiphenyl ether",307.9139,308.9217,164.49,Predicted,18.98,Predicted,2105,Kovatas
257,"2,2',3,4-Tetrachlorodiphenyl ether",307.9139,308.9217,162.2,Predicted,19.04,Predicted,2112,Kovatas
258,"2,3',4,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,165.99,Predicted,19.11,Predicted,2120,Kovatas
259,"2,3,3',5-Tetrachlorodiphenyl ether",307.9139,308.9217,165.19,Predicted,19.13,Predicted,2122,Kovatas
260,"2,2',3,4'-Tetrachlorodiphenyl ether",307.9139,308.9217,164.83,Predicted,19.16,Predicted,2125,Kovatas
261,"2,3,4',6-Tetrachlorodiphenyl ether",307.9139,308.9217,161.79,Predicted,19.16,Predicted,2125,Kovatas
262,"2,3',4,4'-Tetrachlorodiphenyl ether",307.9139,308.9217,166.69,Predicted,19.2,Predicted,2129,Kovatas
263,"2,2',6,6'-Tetrachlorodiphenyl ether",307.9139,308.9217,155.55,Predicted,19.28,Predicted,2138,Kovatas
264,"2,3',4',5-Tetrachlorodiphenyl ether",307.9139,308.9217,165.67,Predicted,19.28,Predicted,2138,Kovatas
265,"2,3',4,5-Tetrachlorodiphenyl ether",307.9139,308.9217,165.78,Predicted,19.28,Predicted,2138,Kovatas
266,"2,2',5,6'-Tetrachlorodiphenyl ether",307.9139,308.9217,157.78,Predicted,19.29,Predicted,2139,Kovatas
267,"2,3',5,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,164.97,Predicted,19.34,Predicted,2145,Kovatas
268,"3,3',5,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,165.63,Predicted,19.39,Predicted,2150,Kovatas
269,"2,3,3',4-Tetrachlorodiphenyl ether",307.9139,308.9217,164.62,Predicted,19.42,Predicted,2154,Kovatas
270,"2,2',3,6-Tetrachlorodiphenyl ether",307.9139,308.9217,159.68,Predicted,19.43,Predicted,2155,Kovatas
271,"2,2',3,3'-Tetrachlorodiphenyl ether",307.9139,308.9217,165.06,Predicted,19.45,Predicted,2157,Kovatas
272,"2,2',4,6'-Tetrachlorodiphenyl ether",307.9139,308.9217,158.33,Predicted,19.46,Predicted,2158,Kovatas
273,"2,3,3',6-Tetrachlorodiphenyl ether",307.9139,308.9217,160.86,Predicted,19.51,Predicted,2164,Kovatas
274,"2,3,3',5'-Tetrachlorodiphenyl ether",307.9139,308.9217,166.11,Predicted,19.76,Predicted,2192,Kovatas
275,"2,2',3,6'-Tetrachlorodiphenyl ether",307.9139,308.9217,159,Predicted,19.83,Predicted,2199,Kovatas
276,"2,3,3',4'-Tetrachlorodiphenyl ether",307.9139,308.9217,166.21,Predicted,19.84,Predicted,2201,Kovatas
277,"3,3',4,5'-Tetrachlorodiphenyl ether",307.9139,308.9217,166.87,Predicted,19.88,Predicted,2205,Kovatas
278,"2,3',4',6-Tetrachlorodiphenyl ether",307.9139,308.9217,160.23,Predicted,20.02,Predicted,2221,Kovatas
279,"2,3',5',6-Tetrachlorodiphenyl ether",307.9139,308.9217,160.6,Predicted,20.02,Predicted,2221,Kovatas
280,"3,4,4',5-Tetrachlorodiphenyl ether",307.9139,308.9217,167.47,Predicted,20.06,Predicted,2225,Kovatas
281,"3,3',4,4'-Tetrachlorodiphenyl ether",307.9139,308.9217,168.95,Predicted,20.18,Predicted,2239,Kovatas
282,"2',3,4,5-Tetrachlorodiphenyl ether",307.9139,308.9217,165.01,Predicted,20.22,Predicted,2244,Kovatas
283,"3,3',4,5-Tetrachlorodiphenyl ether",307.9139,308.9217,166.19,Predicted,20.63,Predicted,2292,Kovatas
284,"4-(3',6'-Dimethyl-3'-heptyl)phenol diethoxylate",308.2346,309.2424,181.31,Predicted,20.12,Predicted,2232,Kovatas
285,2-[2-(Nonylphenoxy)ethoxy]ethanol,308.2346,309.2424,180.09,Predicted,20.5,Predicted,2276,Kovatas
286,2-[2-[4-(2-Methyloctan-2-yl)phenoxy]ethoxy]ethanol,308.2346,309.2424,181.17,Predicted,20.53,Predicted,2280,Kovatas
287,2-[2-(4-Nonylphenoxy)ethoxy]ethanol,308.2346,309.2424,180.95,Predicted,21.76,Predicted,2429,Kovatas
288,Fluoxetine,309.1335,310.1413,175,Measured,21.62,Predicted,2412,Kovatas
289,Desmethylcitalopram,310.1476,311.1554,173.63,Predicted,13.26,Predicted,1560,Kovatas
290,Butyl benzyl phthalate,312.1357,313.1435,181.27,Predicted,18.17,Measured,724427,Fiehn
291,"1,3,5-Tribromobenzene",313.7759,314.7837,128.32,Predicted,11.4,Predicted,1400,Kovatas
292,"1,2,3-Tribromobenzne",313.7759,314.7837,149.1,Predicted,12.35,Predicted,1481,Kovatas
293,Fluvoxamine,318.155,319.1628,167.77,Predicted,8.52,Predicted,1141,Kovatas
294,Norfloxacin,319.1327,320.1405,179.42,Measured,25.72,Predicted,2963,Kovatas
295,Gliclazide,323.1299,324.1377,177.55,Measured,22.63,Predicted,2540,Kovatas
296,2-(2H-Benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol,323.1993,324.2071,181.32,Predicted,22.44,Predicted,2515,Kovatas
297,"2-Benzotriazol-2-yl-4,6-di-tert-butylphenol",323.1993,324.2071,183.61,Predicted,22.93,Predicted,2579,Kovatas
298,Citalopram,324.1633,325.1711,179.85,Measured,11.16,Predicted,1379,Kovatas
299,Tris(chloroiso-propyl)phosphate,326.0003,327.0081,161.77,Measured,16.01,Predicted,1807,Kovatas
300,Triphenyl phosphate,326.0703,327.0781,171.41,Measured,18.43,Measured,735188,Fiehn
301,"(2R,4R,6S,8S,10S)-2,4,6,8,10-Pentachloroundecane",327.9895,328.9973,159.65,Predicted,16.74,Predicted,1877,Kovatas
302,Paroxetine,329.1422,330.15,180.48,Predicted,22.73,Predicted,2553,Kovatas
303,"2,4,6-Tribromophenol",329.7709,330.7787,131.09,Measured,11.69,Measured,456784,Fiehn
304,Furosemide,330.0072,331.015,169.3,Measured,21.86,Predicted,2442,Kovatas
305,Dicyclohexyl phthalate,330.1826,331.1904,189.17,Predicted,18.79,Measured,749852,Fiehn
306,Ciprofloxacin,331.1327,332.1405,181.78,Measured,23.46,Predicted,2650,Kovatas
307,Dacthal,331.8987,332.9065,163.81,Predicted,17.92,Predicted,1994,Kovatas
308,Hexachloronaphthalene 68,333.8253,334.8331,164.24,Predicted,19.27,Predicted,2137,Kovatas
309,Hexachloronaphthalene 67,333.8253,334.8331,162.89,Predicted,19.35,Predicted,2146,Kovatas
310,Hexachloronaphthalene 71,333.8253,334.8331,166.7,Predicted,19.55,Predicted,2168,Kovatas
311,Hexachloronaphthalene 66,333.8253,334.8331,163.83,Predicted,20.06,Predicted,2225,Kovatas
312,Hexachloronaphthalene 64,333.8253,334.8331,162,Predicted,20.81,Predicted,2313,Kovatas
313,Hexachloronaphthalene 72,333.8253,334.8331,166.53,Predicted,20.9,Predicted,2324,Kovatas
314,Hexachloronaphthalene 69,333.8253,334.8331,164.78,Predicted,20.91,Predicted,2325,Kovatas
315,Hexachloronaphthalene 65,333.8253,334.8331,162.24,Predicted,21.05,Predicted,2342,Kovatas
316,Hexachloronaphthalene 63,333.8253,334.8331,163.89,Predicted,21.22,Predicted,2363,Kovatas
317,Hexachloronaphthalene 70,333.8253,334.8331,162.5,Predicted,21.57,Predicted,2405,Kovatas
318,Benzyl penicillin,334.0982,335.106,172.9,Measured,24.27,Predicted,2760,Kovatas
319,Di-iso-hexyl phthalate,334.2139,335.2217,192.57,Predicted,20.14,Predicted,2235,Kovatas
320,Di-n-hexyl phthalate,334.2139,335.2217,193.18,Predicted,20.74,Measured,2305,Kovatas
321,"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bisphenol",336.058,337.0658,166.06,Measured,13.19,Predicted,1554,Kovatas
322,Acebutolol,336.2044,337.2122,189.03,Measured,24.52,Measured,2795,Kovatas
323,Perindoprilat,340.1993,341.2071,181.33,Predicted,22.8,Predicted,2562,Kovatas
324,"2,2',4,5',6-Pentachlorodiphenyl ether",341.8749,342.8827,170.04,Predicted,19.85,Predicted,2202,Kovatas
325,"2,3',4,5',6-Pentachlorodiphenyl ether",341.8749,342.8827,170.73,Predicted,19.95,Predicted,2213,Kovatas
326,"2,2',4,4',6-Pentachlorodiphenyl ether",341.8749,342.8827,169.65,Predicted,20.03,Predicted,2222,Kovatas
327,"2,3,4,5,6-Pentachlorodiphenyl ether",341.8749,342.8827,165.74,Predicted,20.03,Predicted,2222,Kovatas
328,"2,2',3,4',5-Pentachlorodiphenyl ether",341.8749,342.8827,172.3,Predicted,20.05,Predicted,2224,Kovatas
329,"2,2',3',4,6-Pentachlorodiphenyl ether",341.8749,342.8827,170.16,Predicted,20.09,Predicted,2229,Kovatas
330,"2,2',3,5,5'-Pentachlorodiphenyl ether",341.8749,342.8827,172.33,Predicted,20.1,Predicted,2230,Kovatas
331,"2,3,3',5,5'-Pentachlorodiphenyl ether",341.8749,342.8827,173.02,Predicted,20.12,Predicted,2232,Kovatas
332,"2,3,4,4',6-Pentachlorodiphenyl ether",341.8749,342.8827,168.77,Predicted,20.15,Predicted,2236,Kovatas
333,"2,2',4,4',5-Pentachlorodiphenyl ether",341.8749,342.8827,171.9,Predicted,20.24,Predicted,2246,Kovatas
334,"2,2',4,5,5'-Pentachlorodiphenyl ether",341.8749,342.8827,172.43,Predicted,20.26,Predicted,2249,Kovatas
335,"2,2',3,4,5'-Pentachlorodiphenyl ether",341.8749,342.8827,170.65,Predicted,20.29,Predicted,2252,Kovatas
336,"2,3',4,5,5'-Pentachlorodiphenyl ether",341.8749,342.8827,173.39,Predicted,20.32,Predicted,2255,Kovatas
337,"2,3,4',5,6-Pentachlorodiphenyl ether",341.8749,342.8827,170.85,Predicted,20.32,Predicted,2256,Kovatas
338,"2,2',3,4,4'-Pentachlorodiphenyl ether",341.8749,342.8827,171.03,Predicted,20.33,Predicted,2257,Kovatas
339,"2,2',3,4,6-Pentachlorodiphenyl ether",341.8749,342.8827,166.9,Predicted,20.34,Predicted,2258,Kovatas
340,"2,2',3,3',5-Pentachlorodiphenyl ether",341.8749,342.8827,172.83,Predicted,20.47,Predicted,2273,Kovatas
341,"2,2',3,5,6-Pentachlorodiphenyl ether",341.8749,342.8827,168.85,Predicted,20.5,Predicted,2276,Kovatas
342,"2,3,3',4,6-Pentachlorodiphenyl ether",341.8749,342.8827,168.78,Predicted,20.56,Predicted,2284,Kovatas
343,"2,2',4,6,6'-Pentachlorodiphenyl ether",341.8749,342.8827,166.65,Predicted,20.57,Predicted,2285,Kovatas
344,"2,3',4,4',6-Pentachlorodiphenyl ether",341.8749,342.8827,170.45,Predicted,20.59,Predicted,2287,Kovatas
345,"2,2',3',4,5-Pentachlorodiphenyl ether",341.8749,342.8827,172.64,Predicted,20.61,Predicted,2289,Kovatas
346,"2,2',3,5',6-Pentachlorodiphenyl ether",341.8749,342.8827,167.19,Predicted,20.61,Predicted,2289,Kovatas
347,"2,3,3',4',5-Pentachlorodiphenyl ether",341.8749,342.8827,173.84,Predicted,20.61,Predicted,2289,Kovatas
348,"2,3,4,4',5-Pentachlorodiphenyl ether",341.8749,342.8827,171.66,Predicted,20.71,Predicted,2301,Kovatas
349,"2,2',3,5,6'-Pentachlorodiphenyl ether",341.8749,342.8827,167.16,Predicted,20.72,Predicted,2302,Kovatas
350,"2,2',3,4',6-Pentachlorodiphenyl ether",341.8749,342.8827,167.14,Predicted,20.72,Predicted,2302,Kovatas
351,"2,3',4,4',5-Pentachlorodiphenyl ether",341.8749,342.8827,173.55,Predicted,20.75,Predicted,2306,Kovatas
352,"2,2',3,3',4-Pentachlorodiphenyl ether",341.8749,342.8827,172,Predicted,20.76,Predicted,2307,Kovatas
353,"2,3,3',4,5'-Pentachlorodiphenyl ether",341.8749,342.8827,172.48,Predicted,20.78,Predicted,2309,Kovatas
354,"2,3,3',5,6-Pentachlorodiphenyl ether",341.8749,342.8827,170.67,Predicted,20.78,Predicted,2309,Kovatas
355,"2,2',3,4,5-Pentachlorodiphenyl ether",341.8749,342.8827,169.95,Predicted,20.82,Predicted,2314,Kovatas
356,"2,2',3,3',6-Pentachlorodiphenyl ether",341.8749,342.8827,168.03,Predicted,20.83,Predicted,2315,Kovatas
357,"2,2',4,5,6'-Pentachlorodiphenyl ether",341.8749,342.8827,166.4,Predicted,20.9,Predicted,2324,Kovatas
358,"2,2',3,4,6'-Pentachlorodiphenyl ether",341.8749,342.8827,165.57,Predicted,20.96,Predicted,2331,Kovatas
359,"2,3,3',4,4'-Pentachlorodiphenyl ether",341.8749,342.8827,172.87,Predicted,21.08,Predicted,2345,Kovatas
360,"2,3,3',5',6-Pentachlorodiphenyl ether",341.8749,342.8827,169.43,Predicted,21.11,Predicted,2349,Kovatas
361,"2,3,3',4',6-Pentachlorodiphenyl ether",341.8749,342.8827,169.31,Predicted,21.17,Predicted,2356,Kovatas
362,"2,3,3',4,5-Pentachlorodiphenyl ether",341.8749,342.8827,170.38,Predicted,21.19,Predicted,2359,Kovatas
363,"2,2',3,6,6'-Pentachlorodiphenyl ether",341.8749,342.8827,163.37,Predicted,21.28,Predicted,2370,Kovatas
364,"2',3,4,4',5-Pentachlorodiphenyl ether",341.8749,342.8827,171.6,Predicted,21.31,Predicted,2373,Kovatas
365,"2',3,4,5,5'-Pentachlorodiphenyl ether",341.8749,342.8827,171.48,Predicted,21.54,Predicted,2402,Kovatas
366,"3,3',4,5,5'-Pentachlorodiphenyl ether",341.8749,342.8827,173.44,Predicted,21.57,Predicted,2405,Kovatas
367,"2',3,3',4,5-Pentachlorodiphenyl ether",341.8749,342.8827,172.91,Predicted,21.8,Predicted,2434,Kovatas
368,"3,3',4,4',5-Pentachlorodiphenyl ether",341.8749,342.8827,173.86,Predicted,21.89,Predicted,2445,Kovatas
369,"2',3,4,5,6'-Pentachlorodiphenyl ether",341.8749,342.8827,166.83,Predicted,22.12,Predicted,2475,Kovatas
370,"2,4,6-Tribromoanisole",343.7865,344.7943,149.04,Predicted,11.03,Predicted,1368,Kovatas
371,Methoxychlor,344.0133,345.0211,167.22,Predicted,21.63,Measured,2413,Kovatas
372,Omeprazole,345.1142,346.122,179.49,Measured,24.04,Predicted,2729,Kovatas
373,"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",348.1274,349.1352,197.1,Measured,24.91,Predicted,2849,Kovatas
374,Chlorpyrifos,350.9229,351.9307,173.2,Measured,15.7,Measured,623797,Fiehn
375,"2-(2H-Benzotriazol-2-yl)-4,6-ditertpentylphenol",351.2306,352.2384,191.96,Predicted,24.37,Predicted,2774,Kovatas
376,"4,4'-(Diphenylmethylene)bisphenol",352.1458,353.1536,193.48,Predicted,27.24,Predicted,3173,Kovatas
377,Indomethacin,357.0763,358.0841,179.37,Measured,20.48,Measured,819319,Fiehn
378,"2,4-Di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol",357.1603,358.1681,196.15,Measured,18.65,Measured,744178,Fiehn
379,Enrofloxacin,359.164,360.1718,193.86,Measured,8.72,Predicted,1161,Kovatas
380,Fenofibrate,360.1123,361.1201,190.7,Measured,22.43,Predicted,2514,Kovatas
381,Ofloxacin,361.1433,362.1511,189.83,Measured,16.65,Predicted,1868,Kovatas
382,Ethyl-hexyl diphenyl phosphate ,362.1642,363.172,190.1,Predicted,28.66,Predicted,3359,Kovatas
383,2-Benzyl-2-dimethylamino-4'-morpholinobutyrophenone,366.2302,367.238,196.42,Predicted,25.22,Predicted,2893,Kovatas
384,Ampicilloic acid,367.1197,368.1275,187.04,Predicted,26.43,Predicted,3061,Kovatas
385,Heptachloronaphthalene 73,367.7864,368.7942,166.83,Predicted,21.33,Predicted,2376,Kovatas
386,Heptachloronaphthalene 74,367.7864,368.7942,169.25,Predicted,21.73,Predicted,2425,Kovatas
387,Tricresyl phosphate,368.1172,369.125,188.09,Measured,23.47,Predicted,2651,Kovatas
388,Perindopril,368.2306,369.2384,188.01,Predicted,23.78,Predicted,2693,Kovatas
389,"2,4,6-Tribromophenyl allyl ether",369.8022,370.81,163.11,Predicted,15.14,Predicted,1727,Kovatas
390,Dicofol,369.9062,370.914,172.34,Predicted,20.91,Predicted,2325,Kovatas
391,Decamethylcylopentasiloxane ,370.0935,371.1013,187.09,Predicted,9.7,Predicted,1252,Kovatas
392,"4,4'-Bis(dimethylamino)-4''-(methylamino)trityl alcohol",375.2306,376.2384,194.04,Predicted,26.58,Predicted,3083,Kovatas
393,"2,2',4,4',6,6'-Hexachlorodiphenyl ether",375.8359,376.8437,176.13,Predicted,21.46,Predicted,2392,Kovatas
394,"2,2',4,4',5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,179.36,Predicted,21.59,Predicted,2408,Kovatas
395,"2,2',3,4,4',6-Hexachlorodiphenyl ether",375.8359,376.8437,174.15,Predicted,21.61,Predicted,2411,Kovatas
396,"2,2',3,4,5',6-Hexachlorodiphenyl ether",375.8359,376.8437,174.91,Predicted,21.67,Predicted,2418,Kovatas
397,"2,2',3,4',5,6-Hexachlorodiphenyl ether",375.8359,376.8437,175.97,Predicted,21.69,Predicted,2420,Kovatas
398,"2,2',3,4',5,6'-Hexachlorodiphenyl ether",375.8359,376.8437,178.1,Predicted,21.7,Predicted,2422,Kovatas
399,"2,3,3',4,5',6-Hexachlorodiphenyl ether",375.8359,376.8437,175.13,Predicted,21.7,Predicted,2422,Kovatas
400,"2,2',3,4,4',6'-Hexachlorodiphenyl ether",375.8359,376.8437,175.34,Predicted,21.71,Predicted,2423,Kovatas
401,"2,2',3,3',5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,180.07,Predicted,21.73,Predicted,2425,Kovatas
402,"2,2',3,3',4,5'-Hexachlorodiphenyl ether",375.8359,376.8437,178.48,Predicted,21.75,Predicted,2428,Kovatas
403,"2,3',4,4',5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,179.2,Predicted,21.77,Predicted,2430,Kovatas
404,"2,2',3,5,5',6-Hexachlorodiphenyl ether",375.8359,376.8437,176.77,Predicted,21.8,Predicted,2434,Kovatas
405,"2,3,3',5,5',6-Hexachlorodiphenyl ether",375.8359,376.8437,177.83,Predicted,21.82,Predicted,2436,Kovatas
406,"2,2',3,3',4,6-Hexachlorodiphenyl ether",375.8359,376.8437,174.71,Predicted,21.82,Predicted,2437,Kovatas
407,"2,2',3,4',6,6'-Hexachlorodiphenyl ether",375.8359,376.8437,174.57,Predicted,21.83,Predicted,2438,Kovatas
408,"2,2',3,3',5,6'-Hexachlorodiphenyl ether",375.8359,376.8437,175.33,Predicted,21.88,Predicted,2444,Kovatas
409,"2,2',3,4',5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,179.96,Predicted,21.9,Predicted,2447,Kovatas
410,"2,2',4,4',5,6'-Hexachlorodiphenyl ether",375.8359,376.8437,177.13,Predicted,21.91,Predicted,2448,Kovatas
411,"2,2',3,4,4',5'-Hexachlorodiphenyl ether",375.8359,376.8437,178.82,Predicted,21.91,Predicted,2448,Kovatas
412,"2,2',3,4,4',5-Hexachlorodiphenyl ether",375.8359,376.8437,176.86,Predicted,21.92,Predicted,2449,Kovatas
413,"2,2',3,3',5,6-Hexachlorodiphenyl ether",375.8359,376.8437,176.99,Predicted,21.97,Predicted,2455,Kovatas
414,"2,3,4,4',5,6-Hexachlorodiphenyl ether",375.8359,376.8437,172.81,Predicted,22.01,Predicted,2461,Kovatas
415,"2,2',3,4',5',6-Hexachlorodiphenyl ether",375.8359,376.8437,174.56,Predicted,22.03,Predicted,2463,Kovatas
416,"2,2',3,3',4,4'-Hexachlorodiphenyl ether",375.8359,376.8437,177.96,Predicted,22.04,Predicted,2464,Kovatas
417,"2,2',3,4,5,6-Hexachlorodiphenyl ether",375.8359,376.8437,171.46,Predicted,22.1,Predicted,2472,Kovatas
418,"2,3,3',4',5,6-Hexachlorodiphenyl ether",375.8359,376.8437,178.78,Predicted,22.13,Predicted,2476,Kovatas
419,"2,2',3,4,5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,176.39,Predicted,22.14,Predicted,2477,Kovatas
420,"2,3,3',4,5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,177.75,Predicted,22.15,Predicted,2478,Kovatas
421,"2,2',3,3',4,6'-Hexachlorodiphenyl ether",375.8359,376.8437,173.08,Predicted,22.16,Predicted,2479,Kovatas
422,"2,3,3',4,4',6-Hexachlorodiphenyl ether",375.8359,376.8437,175.42,Predicted,22.21,Predicted,2486,Kovatas
423,"2,2',3,4,6,6'-Hexachlorodiphenyl ether",375.8359,376.8437,170.21,Predicted,22.3,Predicted,2497,Kovatas
424,"2,3,3',4,5,6-Hexachlorodiphenyl ether",375.8359,376.8437,172.03,Predicted,22.34,Predicted,2502,Kovatas
425,"2,2',3,3',4,5-Hexachlorodiphenyl ether",375.8359,376.8437,177.9,Predicted,22.36,Predicted,2505,Kovatas
426,"2,2',3,5,6,6'-Hexachlorodiphenyl ether",375.8359,376.8437,171.41,Predicted,22.38,Predicted,2508,Kovatas
427,"2,2',3,3',6,6'-Hexachlorodiphenyl ether",375.8359,376.8437,171.81,Predicted,22.44,Predicted,2516,Kovatas
428,"2,3,3',4,4',5-Hexachlorodiphenyl ether",375.8359,376.8437,177.82,Predicted,22.44,Predicted,2516,Kovatas
429,"2,2',3,4,5,6'-Hexachlorodiphenyl ether",375.8359,376.8437,170.47,Predicted,22.69,Predicted,2548,Kovatas
430,"3,3',4,4',5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,179.58,Predicted,22.72,Predicted,2552,Kovatas
431,"2,3,3',4,4',5'-Hexachlorodiphenyl ether",375.8359,376.8437,178.73,Predicted,22.87,Predicted,2571,Kovatas
432,"2,3,3',4',5,5'-Hexachlorodiphenyl ether",375.8359,376.8437,179.26,Predicted,22.96,Predicted,2583,Kovatas
433,"2,3',4,4',5',6-Hexachlorodiphenyl ether",375.8359,376.8437,177.04,Predicted,23.02,Predicted,2592,Kovatas
434,"2,3,3',4',5',6-Hexachlorodiphenyl ether",375.8359,376.8437,174.25,Predicted,23.1,Predicted,2602,Kovatas
435,Di(n-octyl) phthalate,390.2765,391.2843,209.85,Predicted,22.43,Measured,2493,Kovatas
436,Di(2-ethylhexyl) phthalate,390.2765,391.2843,212.17,Measured,22.27,Measured,899580,Fiehn
437,Sucralose,396.0141,397.0219,179.16,Measured,23.44,Predicted,2647,Kovatas
438,2-[2-[2-[2-(4-Nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,396.2871,397.2949,200.15,Predicted,26.02,Predicted,3004,Kovatas
439,Tris(2-butoxyethyl) phosphate,398.2428,399.2506,197.82,Measured,18.52,Measured,738905,Fiehn
440,Octachloronaphthalene 75,403.7445,404.7523,172.27,Predicted,22.77,Predicted,2558,Kovatas
441,Endosulfan,405.8135,406.8213,175.48,Predicted,19.63,Measured,2177,Kovatas
442,Amlodipin,408.1447,409.1525,189.77,Measured,18.34,Predicted,2037,Kovatas
443,"2,2',3,3',5,6,6'-Heptachlorodiphenyl ether",409.797,410.8048,180.33,Predicted,18.51,Predicted,2055,Kovatas
444,"2,2',3,4,4',5',6-Heptachlorodiphenyl ether",409.797,410.8048,180.66,Predicted,22.86,Predicted,2570,Kovatas
445,"2,2',3,4',5,5',6-Heptachlorodiphenyl ether",409.797,410.8048,182.72,Predicted,22.93,Predicted,2579,Kovatas
446,"2,3,3',4,4',5',6-Heptachlorodiphenyl ether",409.797,410.8048,180.39,Predicted,23.06,Predicted,2596,Kovatas
447,"2,3,3',4',5,5',6-Heptachlorodiphenyl ether",409.797,410.8048,183.91,Predicted,23.09,Predicted,2601,Kovatas
448,"2,2',3,4,4',6,6'-Heptachlorodiphenyl ether",409.797,410.8048,179.89,Predicted,23.15,Predicted,2608,Kovatas
449,"2,2',3,4,4',5,6-Heptachlorodiphenyl ether",409.797,410.8048,176.82,Predicted,23.15,Predicted,2609,Kovatas
450,"2,2',3,3',4,4',6-Heptachlorodiphenyl ether",409.797,410.8048,179.91,Predicted,23.2,Predicted,2615,Kovatas
451,"2,2',3,3',4',5,6-Heptachlorodiphenyl ether",409.797,410.8048,181.6,Predicted,23.24,Predicted,2620,Kovatas
452,"2,2',3,3',4,5',6-Heptachlorodiphenyl ether",409.797,410.8048,180.89,Predicted,23.27,Predicted,2624,Kovatas
453,"2,2',3,3',5,5',6-Heptachlorodiphenyl ether",409.797,410.8048,183.82,Predicted,23.3,Predicted,2629,Kovatas
454,"2,3,3',4,5,5',6-Heptachlorodiphenyl ether",409.797,410.8048,178.68,Predicted,23.31,Predicted,2630,Kovatas
455,"2,2',3,4,5,5',6-Heptachlorodiphenyl ether",409.797,410.8048,178.53,Predicted,23.33,Predicted,2632,Kovatas
456,"2,2',3,4,4',5,5'-Heptachlorodiphenyl ether",409.797,410.8048,183.56,Predicted,23.33,Predicted,2633,Kovatas
457,"2,3,3',4,4',5,5'-Heptachlorodiphenyl ether",409.797,410.8048,183.82,Predicted,23.35,Predicted,2635,Kovatas
458,"2,2',3,3',4,5,6-Heptachlorodiphenyl ether",409.797,410.8048,178.45,Predicted,23.41,Predicted,2643,Kovatas
459,"2,2',3,3',4,6,6'-Heptachlorodiphenyl ether",409.797,410.8048,178.83,Predicted,23.41,Predicted,2643,Kovatas
460,"2,2',3,3',4,4',5-Heptachlorodiphenyl ether",409.797,410.8048,183.55,Predicted,23.5,Predicted,2655,Kovatas
461,"2,2',3,3',4,5,5'-Heptachlorodiphenyl ether",409.797,410.8048,184.87,Predicted,23.56,Predicted,2663,Kovatas
462,"2,2',3,4,4',5,6'-Heptachlorodiphenyl ether",409.797,410.8048,180.94,Predicted,23.62,Predicted,2672,Kovatas
